Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Database Engineering, IoT (Internet of Things)",On-site,8.4,"Communication, Attention to Detail, Goal-Oriented Mindset, Resilience, Conflict Resolution","Lisp, R, PHP, Ruby","Figma, PyTorch, PyCharm, Grafana","Linux Foundation Certified Kubernetes Admin, Microsoft Certified Azure Fundamentals, Oracle Certified Java Programmer",False,False,8,"Case Competitions, Podcast Creation, Club Leadership Roles","Theory of Computation, Operating Systems, Psychology",2,Detail-Oriented,Game Developer
"Deep Learning, Frontend Development, Computer Vision",Remote,7.1,"Critical Thinking, Business Communication, Analytical Thinking, Adaptability",HTML,"Adobe XD, Pandas, Django, Vue.js, PyTorch, Spring Boot","Google Data Analytics Certificate, Certified ScrumMaster (CSM), Google Cloud Associate Cloud Engineer",False,False,4,"Photography, AR/VR Projects","Probability and Statistics, Artificial Intelligence, Sociology, Calculus",0,"Experimental, Detail-Oriented",AR/VR Developer
"Embedded Systems, Deep Learning, Platform Engineering",On-site,9.8,"Adaptability, Planning and Organization, Business Communication","Lisp, Scala, Dart, Julia","InVision, Confluence, Selenium, PyTorch, Flutter, Looker","Salesforce Certified Administrator, iOS App Development with Swift (Apple), Offensive Security Certified Professional (OSCP)",False,False,2,Public Speaking,"Robotics, Blockchain, Psychology",0,Strategic,Network Engineer
"Machine Learning, Frontend Development",Hybrid,8.4,Leadership,"Python, Swift, Go, Julia","Django, Confluence, PyCharm, Angular, React, Spring Boot","Tableau Desktop Specialist, PCEP – Certified Entry-Level Python Programmer",True,False,2,Technical Writing,"Quantum Computing, Sociology, Data Mining",2,Data-driven,AR/VR Developer
"Data Science, Frontend Development",Remote,9.8,"Customer Focus, Adaptability, Conflict Resolution","C#, Ruby, Haskell","Kafka, TensorFlow, Helm, Cypress, Google Colab, Flutter","Google Data Analytics Certificate, IBM Data Science Professional Certificate",False,False,1,"Public Speaking, Technical Writing","Machine Learning, Data Mining, Business Intelligence",3,Analytical,Data Scientist
"Big Data, Design Systems",Remote,7.6,"Innovative Thinking, Communication, Analytical Thinking, Accountability",,"GitHub, AWS, Ansible","Microsoft Certified: SQL Associate, Responsive Web Design (freeCodeCamp)",True,True,3,"UI/UX Projects, Club Leadership Roles","Web Technologies, Digital Logic Design",0,Logical,MS in Computer Science
"Embedded Systems, Deep Learning",On-site,9.6,"Negotiation, Analytical Thinking",Assembly,"InVision, Confluence, Jupyter Notebook, MySQL, DBT",iOS App Development with Swift (Apple),False,False,1,"Technical Writing, Club Leadership Roles, Music","Computer Vision, Psychology",2,Strategic,Network Engineer
"Web Development, UI/UX Design",On-site,6.6,"Teamwork, Customer Focus, Multitasking, Empathy, Problem Solving",,"Sketch, Angular, Jest, Git",,True,True,2,"Mentorship Programs, Graphic Design, Startup Ideation Events","Data Structures and Algorithms, Cryptography, User Interface Design, Biology",2,"Logical, Creative",Software Developer (Frontend)
"Project Management, Natural Language Processing, Game Development",On-site,7.6,"Leadership, Planning and Organization",,"InVision, Mocha, MongoDB, Ansible, Azure",,True,True,1,"Club Leadership Roles, Animation Design, AR/VR Projects, Blogging","Chemistry, Linear Algebra, Technical Communication",1,"Detail-Oriented, Collaborative",Ph.D. Candidate
"Quantum Computing, Big Data, Design Systems",Remote,8.2,"Teamwork, Customer Focus, Work Ethic, Accountability, Negotiation",Dart,"Kafka, ELK Stack, Ansible, Cypress","Google Cloud Associate Cloud Engineer, Backend Development (Node.js)",True,True,1,"Video Editing, Case Competitions","Web Technologies, Digital Logic Design",4,Logical,MS in Computer Science
"Deep Learning, Artificial Intelligence",Remote,7.7,"Adaptability, Critical Thinking, Customer Focus, Empathy, Presentation Skills",PHP,"GitLab CI/CD, Kubernetes, PyTorch, MongoDB, Cypress, Scikit-learn",,False,False,2,"Open Source Contributions, Community Service","Entrepreneurship, Artificial Intelligence",1,Analytical,Machine Learning Engineer
"Artificial Intelligence, Education Technology, Systems Programming",Hybrid,7.6,"Problem Solving, Teamwork, Innovative Thinking, Conflict Resolution, Customer Focus",JavaScript,"CircleCI, Confluence, Weights & Biases, Sketch, Unity",,False,False,4,"Debate Clubs, Gaming, Blogging","Distributed Systems, Big Data Analytics, Object-Oriented Programming, Computer Vision",3,Detail-Oriented,Platform Engineer
"Technical Writing, Computer Vision",Hybrid,8.1,"Active Listening, Customer Focus","Go, Julia, PowerShell","ELK Stack, Vue.js, GCP, Xcode",,True,True,1,"Sports, Innovation Challenges, Case Competitions, Coding Clubs","Machine Learning, Data Structures and Algorithms, Compiler Design",1,"Analytical, Data-driven",Technical Program Manager (TPM)
"Embedded Systems, Bioinformatics",Hybrid,6.9,"Adaptability, Active Listening","Assembly, Rust, Shell (Bash), Java","MySQL, Tableau","Salesforce Certified Administrator, IBM Data Science Professional Certificate",False,False,7,,"Web Technologies, Data Structures and Algorithms, Ethical Hacking",0,"Experimental, User-Centered",Database Administrator
"Entrepreneurship, Big Data, Bioinformatics",On-site,7.1,"Innovative Thinking, Goal-Oriented Mindset, Emotional Intelligence",,"Pytest, Adobe XD, Postman, Bitbucket",,True,True,6,"Workshop Hosting, Community Service","Cloud Infrastructure, Human Computer Interaction, Computer Networks",3,Innovative,Security Engineer
Machine Learning,On-site,6.8,"Conflict Resolution, Active Listening, Creative Thinking, Communication, Accountability","SQL, Lisp, R","Jupyter Notebook, GitHub","Google Data Analytics Certificate, IBM Data Science Professional Certificate",True,True,8,Technical Writing,"Artificial Intelligence, Data Structures and Algorithms",0,Analytical,Data Scientist
"Ethical Hacking, Human Computer Interaction, Mobile App Development",On-site,6.9,"Attention to Detail, Communication",Dart,"Scikit-learn, AWS","CompTIA Security+, Cisco CCNA, Machine Learning (Stanford/Coursera)",False,False,2,"Graphic Design, Mentorship Programs, Public Speaking, Volunteering","Software Engineering, Bioinformatics, Calculus",0,"Strategic, Big Picture Thinker",Business Analyst
"Data Science, Technical Writing",On-site,9.4,"Customer Focus, Communication, Critical Thinking, Conflict Resolution, Attention to Detail",,"Node.js, NumPy, Looker","Microsoft Certified Azure Fundamentals, SAFe Agilist Certification",True,True,5,Open Source Contributions,"Web Technologies, Project Management, Data Structures and Algorithms, Computer Networks",0,"Innovative, Collaborative",MS in Data Science
"Project Management, Web Development",On-site,8.3,"Time Management, Multitasking, Innovative Thinking","MATLAB, TypeScript","Spark, Canva, InVision","Microsoft Certified Azure Fundamentals, Machine Learning (Stanford/Coursera), ISTQB Foundation Level",False,False,3,"Open Source Contributions, Technical Writing","Object-Oriented Programming, Psychology",1,"Detail-Oriented, Analytical",AI Ethicist
"Artificial Intelligence, Big Data",Hybrid,8.8,"Communication, Resilience, Multitasking, Work Ethic",,"Airflow, Vue.js, Power BI, Scikit-learn, Node.js, NumPy",Docker Certified Associate,False,False,8,"UI/UX Projects, Innovation Challenges, Hackathons, Volunteering","Human Computer Interaction, Artificial Intelligence, Linear Algebra, Natural Language Processing",2,Analytical,Solutions Architect
"Database Engineering, Software Engineering",Remote,8.5,Multitasking,"Rust, Dart, Julia, MATLAB","Flask, Jenkins, Spring Boot, TensorFlow",,False,False,2,"Workshop Hosting, Robotics Competitions, Tech Meetups, Entrepreneurship Clubs","Data Structures and Algorithms, Operating Systems, Psychology",0,"Logical, Result-Oriented",Software Developer (Backend)
Frontend Development,Remote,7.7,Adaptability,"PHP, Shell (Bash), Haskell","Express.js, IntelliJ IDEA, Weights & Biases, Terraform, PyCharm, Tableau",Kubernetes Certified Administrator (CKA),False,False,7,"Online Coding Contests, Open Source Contributions","Cyber Security, Physics, Bioinformatics, Calculus",3,Logical,Technical Consultant
"Bioinformatics, DevOps, Mobile App Development",Remote,6.7,"Time Management, Communication",Objective-C,"SwiftUI, UIKit, Xcode","Kubernetes Certified Administrator (CKA), iOS App Development with Swift (Apple), Cisco CCNA",False,False,4,Music,"Cloud Infrastructure, Software Engineering",1,"Detail-Oriented, Collaborative",Mobile Developer (iOS)
"Backend Development, Artificial Intelligence, Big Data",Remote,9.1,"Goal-Oriented Mindset, Planning and Organization, Customer Focus, Resilience, Adaptability",,"TensorFlow, Power BI, Jupyter Notebook, Git, Xcode","Certified Ethical Hacker (CEH), Project Management Professional (PMP)",True,True,6,"Volunteering, Hackathons, Innovation Challenges","Digital Logic Design, Physics, Natural Language Processing, Operating Systems",0,Analytical,Solutions Architect
"Deep Learning, Ethical Hacking",Remote,9.4,"Planning and Organization, Adaptability, Accountability, Multitasking","HTML, Shell (Bash), TypeScript","Mocha, MongoDB, Cypress, Ansible, Selenium",,False,False,1,,"Linear Algebra, Operating Systems",3,Pragmatic,Systems Engineer
"Artificial Intelligence, Data Science",Remote,7.5,Conflict Resolution,"Lisp, Ruby","Jupyter Notebook, Scikit-learn","Google Data Analytics Certificate, Deep Learning Specialization (Coursera), Machine Learning (Stanford/Coursera), IBM Data Science Professional Certificate",False,False,8,Workshop Hosting,"Probability and Statistics, Linear Algebra",1,"Experimental, Data-driven",Data Scientist
"Consulting, Technical Writing, Computer Vision",Hybrid,9.1,"Decision Making, Work Ethic, Multitasking, Collaboration, Innovative Thinking","HTML, Julia","Flask, Vue.js, React Native, Power BI, DBT","AWS Certified Security Specialty, CompTIA Security+",True,False,8,"AR/VR Projects, Music, Entrepreneurship Clubs","Economics, Computer Architecture, Operating Systems",4,"Systematic, Analytical",Technical Program Manager (TPM)
"Database Engineering, Frontend Development",On-site,9.4,"Work Ethic, Presentation Skills","MATLAB, TypeScript","Spring Boot, CircleCI, Jenkins, Laravel, Unity","Backend Development (Node.js), Microsoft Certified: Power BI Data Analyst Associate",False,False,5,Hackathons,"Project Management, Cloud Computing, Sociology, Database Management Systems",3,Creative,IoT Engineer
"Business Analysis, Academic Research",Hybrid,8.0,"Creative Thinking, Decision Making, Negotiation","Kotlin, Scala","Airflow, JUnit, Cypress",ISTQB Foundation Level,False,False,6,Debate Clubs,"Business Intelligence, Data Mining, Object-Oriented Programming",1,"Detail-Oriented, User-Centered",Software Test Automation Engineer
"Finance Technology, Education Technology",Remote,7.6,"Customer Focus, Business Communication, Multitasking","CSS, Julia","Bitbucket, Prometheus, MongoDB","Certified Ethical Hacker (CEH), Project Management Professional (PMP), Linux Foundation Certified Kubernetes Admin",False,False,5,"Online Coding Contests, Club Leadership Roles, Startup Ideation Events, Gaming","Discrete Mathematics, Computer Architecture",2,"Strategic, Intuitive",Product Manager
"Ethical Hacking, Mobile App Development, IoT (Internet of Things)",On-site,9.5,Innovative Thinking,"Java, Kotlin, C++","Firebase, Adobe XD, PyTorch, Prometheus, Gradle",,False,False,7,Volunteering,"Mobile Application Development, IoT (Internet of Things)",0,Innovative Thinking,Mobile Developer (Android)
"Web Development, Big Data, Business Analysis",Remote,8.4,"Innovative Thinking, Time Management, Empathy","Rust, Dart","Kafka, Confluence, Helm, Power BI, Spark, Ansible",Tableau Desktop Specialist,True,True,1,"Gaming, AR/VR Projects, Tech Meetups","Data Structures and Algorithms, Robotics, Data Mining, Digital Logic Design",3,"Logical, Intuitive",MS in Computer Science
"Database Engineering, Software Engineering, Technical Writing",Hybrid,7.6,Strategic Thinking,"Java, Ruby, SQL, Go, C#","Jira, Helm, Scikit-learn, Node.js, GitHub, NumPy","AWS Certified Cloud Practitioner, Microsoft Certified: SQL Associate",True,True,4,"Sports, Public Speaking, Podcast Creation","Artificial Intelligence, Data Mining, Data Structures and Algorithms, Discrete Mathematics",3,"Logical, Data-driven",Software Developer (Backend)
"Data Science, Consulting, Site Reliability Engineering (SRE)",Hybrid,9.0,"Multitasking, Active Listening, Leadership",,"Ansible, Grafana","Project Management Professional (PMP), Linux Foundation Certified Kubernetes Admin",True,False,7,,"Cloud Infrastructure, Probability and Statistics, Computer Networks",2,"Logical, Intuitive",MLOps Engineer
"DevOps, Infrastructure",On-site,6.1,Conflict Resolution,"Go, Python, HTML, Shell (Bash)","AWS, Postman, Ansible, Android Studio",,True,False,8,"Photography, Video Editing","Security, Cloud Computing, Discrete Mathematics, Operating Systems",0,Strategic Thinking,Cloud Engineer
Mobile App Development,Remote,8.2,"Negotiation, Strategic Thinking, Adaptability, Emotional Intelligence","C++, Java","Vue.js, Jupyter Notebook, DBT, Git, Android Studio","Tableau Desktop Specialist, Certified ScrumMaster (CSM)",True,True,5,"Open Source Contributions, Public Speaking, Robotics Competitions, Podcast Creation","Artificial Intelligence, Ethical Hacking, Object-Oriented Programming, Psychology",2,Innovative Thinking,Mobile Developer (Android)
Deep Learning,Hybrid,7.7,"Time Management, Creative Thinking","Rust, Dart, MATLAB, C++","Terraform, Git, Scikit-learn, DBT, Selenium, Xcode",Google Data Analytics Certificate,True,True,4,,"Artificial Intelligence, Virtualization and Containers, Technical Communication, Mobile Application Development",0,"Strategic, Intuitive",Data Engineer
"Big Data, Design Systems",Remote,6.0,Resilience,"SQL, JavaScript, PowerShell","Kafka, Sketch, Ansible, Terraform",,True,True,8,,"Web Technologies, Information Security",2,Systematic,MS in Computer Science
"Human Computer Interaction, Web Development, Frontend Development",Remote,6.5,"Work Ethic, Presentation Skills, Multitasking, Empathy","Rust, R, TypeScript","VS Code, Webpack, Postman","AWS Certified Security Specialty, ISTQB Foundation Level, Responsive Web Design (freeCodeCamp)",True,False,4,Innovation Challenges,"Web Technologies, Sociology, Natural Language Processing, Machine Learning",4,"Detail-Oriented, User-Centered",Software Developer (Frontend)
"Backend Development, Product Management, Technical Writing",Hybrid,9.0,Empathy,"Assembly, HTML, TypeScript","Xcode, Looker","Project Management Professional (PMP), iOS App Development with Swift (Apple), Linux Foundation Certified Kubernetes Admin",True,True,3,"Teaching/TA Work, Startup Ideation Events","Cloud Computing, Information Security, IoT (Internet of Things)",2,Big Picture Thinker,Research Intern (General)
